Process name: p329
Logs:

(07/11/2026 03:05:33PM) Core:1 "DECLARE: j = 55749"
(07/11/2026 03:05:34PM) Core:1 "SUBTRACT: i = 19 - z(0) -> 19"
(07/11/2026 03:05:34PM) Core:1 "FOR: iterations=2"
(07/11/2026 03:05:34PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:34PM) Core:1 "SLEEP: 3 ticks"
(07/11/2026 03:05:34PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:34PM) Core:1 "SLEEP: 3 ticks"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: y = 37 - 99 -> 0"
(07/11/2026 03:05:34PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: x = i(19) - 57 -> 0"
(07/11/2026 03:05:34PM) Core:0 "DECLARE: j = 62492"
(07/11/2026 03:05:34PM) Core:0 "SLEEP: 2 ticks"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=3"
(07/11/2026 03:05:34PM) Core:0 "ADD: x = 49 + 51 -> 100"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: i = 29 - i(19) -> 10"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "ADD: x = 49 + 51 -> 100"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: i = 29 - i(10) -> 19"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "ADD: x = 49 + 51 -> 100"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:34PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: i = 29 - i(19) -> 10"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: j = y(0) - 2 -> 0"
(07/11/2026 03:05:34PM) Core:0 "SUBTRACT: j = y(0) - 2 -> 0"
(07/11/2026 03:05:35PM) Core:0 "SUBTRACT: j = y(0) - 2 -> 0"
(07/11/2026 03:05:35PM) Core:0 "SUBTRACT: j = y(0) - 2 -> 0"
(07/11/2026 03:05:35PM) Core:0 "SUBTRACT: j = y(0) - 2 -> 0"
(07/11/2026 03:05:35PM) Core:0 "FOR: iterations=2"
(07/11/2026 03:05:35PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:0 "SUBTRACT: k = i(10) - z(0) -> 10"
(07/11/2026 03:05:35PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:0 "SUBTRACT: k = i(10) - z(0) -> 10"
(07/11/2026 03:05:35PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:0 "SUBTRACT: y = x(100) - 1 -> 99"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "FOR: iterations=4"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:1 "SUBTRACT: j = 71 - i(10) -> 61"
(07/11/2026 03:05:35PM) Core:1 "FOR: iterations=3"
(07/11/2026 03:05:35PM) Core:1 "ADD: k = j(61) + k(10) -> 71"
(07/11/2026 03:05:35PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:35PM) Core:0 "ADD: k = j(61) + k(71) -> 132"
(07/11/2026 03:05:35PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:0 "ADD: k = j(61) + k(132) -> 193"
(07/11/2026 03:05:36PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:0 "SUBTRACT: k = z(0) - z(0) -> 0"
(07/11/2026 03:05:36PM) Core:0 "SLEEP: 5 ticks"
(07/11/2026 03:05:36PM) Core:1 "DECLARE: k = 10871"
(07/11/2026 03:05:36PM) Core:1 "FOR: iterations=5"
(07/11/2026 03:05:36PM) Core:1 "SLEEP: 4 ticks"
(07/11/2026 03:05:36PM) Core:0 "SLEEP: 4 ticks"
(07/11/2026 03:05:36PM) Core:1 "SLEEP: 4 ticks"
(07/11/2026 03:05:36PM) Core:0 "SLEEP: 4 ticks"
(07/11/2026 03:05:36PM) Core:1 "SLEEP: 4 ticks"
(07/11/2026 03:05:36PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:0 "ADD: z = k(10871) + i(10) -> 10881"
(07/11/2026 03:05:36PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:1 "SUBTRACT: x = j(61) - 51 -> 10"
(07/11/2026 03:05:36PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:36PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "SUBTRACT: x = z(10881) - 33 -> 10848"
(07/11/2026 03:05:37PM) Core:0 "SUBTRACT: j = x(10848) - y(99) -> 10749"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "ADD: i = 5 + i(10) -> 15"
(07/11/2026 03:05:37PM) Core:0 "ADD: i = j(10749) + 36 -> 10785"
(07/11/2026 03:05:37PM) Core:0 "SUBTRACT: j = 23 - z(10881) -> 0"
(07/11/2026 03:05:37PM) Core:0 "SLEEP: 3 ticks"
(07/11/2026 03:05:37PM) Core:0 "FOR: iterations=5"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "ADD: x = 45 + 25 -> 70"
(07/11/2026 03:05:37PM) Core:0 "FOR: iterations=2"
(07/11/2026 03:05:37PM) Core:0 "DECLARE: z = 61029"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "SUBTRACT: z = 70 - j(0) -> 70"
(07/11/2026 03:05:37PM) Core:0 "DECLARE: z = 61029"
(07/11/2026 03:05:37PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:37PM) Core:0 "SUBTRACT: z = 70 - j(0) -> 70"
(07/11/2026 03:05:37PM) Core:0 "SUBTRACT: j = j(0) - z(70) -> 0"
(07/11/2026 03:05:38PM) Core:0 "DECLARE: k = 36991"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "DECLARE: j = 20229"
(07/11/2026 03:05:38PM) Core:0 "ADD: z = k(36991) + j(20229) -> 57220"
(07/11/2026 03:05:38PM) Core:0 "DECLARE: y = 19355"
(07/11/2026 03:05:38PM) Core:0 "DECLARE: j = 34229"
(07/11/2026 03:05:38PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:1 "FOR: iterations=5"
(07/11/2026 03:05:38PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:1 "FOR: iterations=3"
(07/11/2026 03:05:38PM) Core:1 "ADD: i = j(34229) + 24 -> 34253"
(07/11/2026 03:05:38PM) Core:1 "SLEEP: 2 ticks"
(07/11/2026 03:05:38PM) Core:0 "ADD: i = j(34229) + 24 -> 34253"
(07/11/2026 03:05:38PM) Core:0 "SLEEP: 2 ticks"
(07/11/2026 03:05:38PM) Core:0 "ADD: i = j(34229) + 24 -> 34253"
(07/11/2026 03:05:38PM) Core:0 "SLEEP: 2 ticks"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "DECLARE: z = 22996"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:38PM) Core:0 "ADD: z = z(22996) + k(36991) -> 59987"
(07/11/2026 03:05:38PM) Core:0 "SLEEP: 4 ticks"
(07/11/2026 03:05:39PM) Core:1 "SUBTRACT: x = 41 - 75 -> 0"
(07/11/2026 03:05:39PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:39PM) Core:1 "ADD: k = 97 + z(59987) -> 60084"
(07/11/2026 03:05:39PM) Core:1 "ADD: z = 98 + k(60084) -> 60182"
(07/11/2026 03:05:39PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:39PM) Core:1 "ADD: j = x(0) + 60 -> 60"
(07/11/2026 03:05:39PM) Core:1 "SLEEP: 2 ticks"
(07/11/2026 03:05:39PM) Core:0 "ADD: k = z(60182) + 67 -> 60249"
(07/11/2026 03:05:39PM) Core:0 "SLEEP: 5 ticks"
(07/11/2026 03:05:39PM) Core:1 "FOR: iterations=4"
(07/11/2026 03:05:39PM) Core:1 "SUBTRACT: y = 98 - k(60249) -> 0"
(07/11/2026 03:05:39PM) Core:1 "SLEEP: 3 ticks"
(07/11/2026 03:05:39PM) Core:0 "DECLARE: z = 57486"
(07/11/2026 03:05:39PM) Core:0 "SUBTRACT: y = 98 - k(60249) -> 0"
(07/11/2026 03:05:39PM) Core:0 "SLEEP: 3 ticks"
(07/11/2026 03:05:39PM) Core:1 "DECLARE: z = 57486"
(07/11/2026 03:05:39PM) Core:1 "SUBTRACT: y = 98 - k(60249) -> 0"
(07/11/2026 03:05:39PM) Core:1 "SLEEP: 3 ticks"
(07/11/2026 03:05:39PM) Core:1 "DECLARE: z = 57486"
(07/11/2026 03:05:39PM) Core:1 "SUBTRACT: y = 98 - k(60249) -> 0"
(07/11/2026 03:05:39PM) Core:1 "SLEEP: 3 ticks"
(07/11/2026 03:05:39PM) Core:0 "DECLARE: z = 57486"
(07/11/2026 03:05:39PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:39PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "SUBTRACT: y = 4 - 82 -> 0"
(07/11/2026 03:05:40PM) Core:0 "ADD: j = z(57486) + y(0) -> 57486"
(07/11/2026 03:05:40PM) Core:0 "SLEEP: 3 ticks"
(07/11/2026 03:05:40PM) Core:0 "SUBTRACT: x = 45 - 53 -> 0"
(07/11/2026 03:05:40PM) Core:0 "DECLARE: y = 35771"
(07/11/2026 03:05:40PM) Core:0 "ADD: j = 11 + y(35771) -> 35782"
(07/11/2026 03:05:40PM) Core:0 "SUBTRACT: x = i(34253) - j(35782) -> 0"
(07/11/2026 03:05:40PM) Core:0 "DECLARE: z = 49167"
(07/11/2026 03:05:40PM) Core:0 "FOR: iterations=3"
(07/11/2026 03:05:40PM) Core:0 "SUBTRACT: j = 72 - 16 -> 56"
(07/11/2026 03:05:40PM) Core:0 "SUBTRACT: j = 72 - 16 -> 56"
(07/11/2026 03:05:40PM) Core:0 "SUBTRACT: j = 72 - 16 -> 56"
(07/11/2026 03:05:40PM) Core:1 "ADD: i = x(0) + i(34253) -> 34253"
(07/11/2026 03:05:40PM) Core:1 "SUBTRACT: k = j(56) - 20 -> 36"
(07/11/2026 03:05:40PM) Core:1 "SUBTRACT: x = 60 - i(34253) -> 0"
(07/11/2026 03:05:40PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "ADD: k = k(36) + k(36) -> 72"
(07/11/2026 03:05:40PM) Core:0 "FOR: iterations=3"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "ADD: i = j(56) + y(35771) -> 35827"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:1 "ADD: i = j(56) + y(35771) -> 35827"
(07/11/2026 03:05:40PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:40PM) Core:1 "ADD: i = j(56) + y(35771) -> 35827"
(07/11/2026 03:05:41PM) Core:0 "Hello world from p329!"
(07/11/2026 03:05:41PM) Core:0 "SUBTRACT: j = 38 - 56 -> 0"
(07/11/2026 03:05:41PM) Core:0 "ADD: z = k(72) + k(72) -> 144"
(07/11/2026 03:05:41PM) Core:0 "DECLARE: i = 56367"
(07/11/2026 03:05:41PM) Core:1 "ADD: x = k(72) + x(0) -> 72"
(07/11/2026 03:05:41PM) Core:1 "Hello world from p329!"
(07/11/2026 03:05:41PM) Core:1 "DECLARE: x = 43475"
(07/11/2026 03:05:41PM) Core:1 "Hello world from p329!"
